关键字,搜索日期,用户ID,用户昵称,微博时间,发自,内容,转发,评论,点赞,博文地址,博主首页
MU5735,2022-03-21,3670754273,伊卡洛斯尹,2022年03月21日 22:59,OnePlus 7T,#mu5735#刚看过这个电影，希望找到黑匣子查清楚事情真想,,,2,https://s.weibo.com/weibo?q=%23mu5735%23
MU5735,2022-03-21,7188258525,森辰儿央视新闻,2022年03月21日 23:00,荣耀30S 5G 美由芯生,【#广西藤县预计今晚降温降雨# #降雨或影响坠机现场救援#】据@广西气象 ：目前冷空气前锋已到达桂林南部到贺州北部一带，预计将于今晚后半夜开始影响广西藤县。受其影响，今晚后半夜开始藤县将有一次降温降雨天气过程，预计藤县今天晚上到明天白天有大雨，局部有暴雨，气温16~25℃；3月23日，大雨，局部有暴雨，气温12~18℃；3月24日，中雨，局部有大雨，气温15~19℃。相关部门需注意今晚后半夜开始的降温降雨天气过程对救援工作带来的不利影响。#mu5735#（总台央视记者邓君洋 刘春） 收起d,,2,206029赞,https://s.weibo.com/weibo?q=%23mu5735%23//weibo.com/2656274875/LkN79F0TC?refer_flag=1001030103_https://s.weibo.com/weibo?q=%23%E5%B9%BF%E8%A5%BF%E8%97%A4%E5%8E%BF%E9%A2%84%E8%AE%A1%E4%BB%8A%E6%99%9A%E9%99%8D%E6%B8%A9%E9%99%8D%E9%9B%A8%23//weibo.com/n/%E5%B9%BF%E8%A5%BF%E6%B0%94%E8%B1%A1javascript:void(0);https://s.weibo.com/weibo?q=%23%E9%99%8D%E9%9B%A8%E6%88%96%E5%BD%B1%E5%93%8D%E5%9D%A0%E6%9C%BA%E7%8E%B0%E5%9C%BA%E6%95%91%E6%8F%B4%23
MU5735,2022-03-21,1725740912,Jacob_birdy联合国新闻中心,2022年03月21日 22:59,微博轻享版,//@联合国 :#国际民航组织# 向@中国东方航空 #mu5735# 航班不幸失事所有受影响的人深表哀悼。,,,1170赞,//weibo.com/n/%E4%B8%AD%E5%9B%BD%E4%B8%9C%E6%96%B9%E8%88%AA%E7%A9%BAhttps://s.weibo.com/weibo/%23%E5%9B%BD%E9%99%85%E6%B0%91%E8%88%AA%E7%BB%84%E7%BB%87%23https://s.weibo.com/weibo?q=%23mu5735%23//weibo.com/n/%E8%81%94%E5%90%88%E5%9B%BD
MU5735,2022-03-21,6277660383,云边有个六十三,2022年03月21日 23:00,nova7SE 5G你在焦点在,#mu5735#从下午看到报道到现在真的很感慨，本来自己也是一个患得患失的人，在灾难面前生命真的太脆弱了，永远不知道明天和意外谁先来，所以一定要好好珍惜眼前人。,,4,8,https://s.weibo.com/weibo?q=%23mu5735%23
MU5735,2022-03-21,6418252615,黄曦彦Tim粉丝后援会,2022年03月21日 22:59,黄曦彦tim超话,黄曦彦tim 【禁娱公告】为今日东航MU5735的同胞祈福，今天明天超话禁娱两天禁娱期间：1.超话禁止发布带黄曦彦本人相关娱乐话题。2.请勿发布与黄曦彦相关的一切安利向、娱乐向话题新贴。3禁止提起任何敏感话题或字眼，如遇相关问题请私信主持人4.禁娱期间超话签到和回贴可正常进行。请大家谨言慎行，如发现不当言论，请及时联系超话主持人若违反以上规则，主持人将会进行屏蔽处理 收起d,,,1,javascript:void(0);//weibo.com/6418252615/LkO9xr1Nl?refer_flag=1001030103_https://huati.weibo.com/5779940
MU5735,2022-03-21,5454601597,一只芒果爱吃虾,2022年03月21日 23:00,iPhone客户端,为#mu5735# 祈祷🙏,,,赞,https://s.weibo.com/weibo?q=%23mu5735%23
MU5735,2022-03-21,5967647171,清风伟凡,2022年03月21日 22:59,乐至超话,【东航客机坠毁，目击货车司机：飞机急速垂直下落】据中国民航局消息，2022年3月21日，东航一架波音737客机在执行昆明——广州航班任务时，于梧州上空失联。目前，已确认该飞机坠毁。机上人员共132人，其中旅客123人、机组9人。货车司机李先生也在从南宁到梧州的高速路上见证了这惊魂一刻。今天下午2点多，他正行驶在苍硕高速上，抵达莫埌村附近时，突然看见右前方的山头上，一架飞机急速地垂直下落，“隔着两三公里远，听不到声响，但冒着黑色的浓烟，像是爆炸了。”李先生说，整个过程只有几秒钟，自己用手机拍摄视频时，只能拍到滚滚浓烟，“太吓人了，我后来才在群里看到这趟飞机上还有100多人。”#mu5735# （钱江晚报·小时新闻记者 张蓉） L钱江晚报的微博视频 收起d,,,1,http://t.cn/A6661cx0javascript:void(0);https://s.weibo.com/weibo?q=%23mu5735%23//weibo.com/5967647171/LkO9xr1Oq?refer_flag=1001030103_
MU5735,2022-03-21,7634400239,sg1208_,2022年03月21日 22:59,iPhone XR,#mu5735#我的天,,,赞,https://s.weibo.com/weibo?q=%23mu5735%23
MU5735,2022-03-21,2814390751,公益志愿者胡玮康斯坦丁,2022年03月21日 22:59,微博网页版,#民航局确认东航一架飞机坠毁#简直不敢相信自己的眼睛，看到消息还以为是国外，再仔细一看是广西境内，真的不想听到看到这样的消息，太难过了，非常时期，还是那句话，能不出门就不出门，这样的坠落，估计难有生还者，但愿有奇迹出现！生命如此脆弱，明天和意外永远不知道谁先到来，哎……#mu5735##v光计划# 收起d,,,5275赞,https://s.weibo.com/weibo?q=%23mu5735%23https://s.weibo.com/weibo?q=%23%E6%B0%91%E8%88%AA%E5%B1%80%E7%A1%AE%E8%AE%A4%E4%B8%9C%E8%88%AA%E4%B8%80%E6%9E%B6%E9%A3%9E%E6%9C%BA%E5%9D%A0%E6%AF%81%23//weibo.com/1246151574/LkMbF5CIA?refer_flag=1001030103_https://s.weibo.com/weibo?q=%23%E5%B7%B2%E5%8F%91%E7%8E%B0%E5%A4%B1%E4%BA%8B%E9%A3%9E%E6%9C%BA%E6%AE%8B%E9%AA%B8%E7%A2%8E%E7%89%87%23https://s.weibo.com/weibo?q=%23v%E5%85%89%E8%AE%A1%E5%88%92%23https://s.weibo.com/weibo?q=%23%E4%B8%9C%E8%88%AA%E7%A7%B0%E9%A3%9E%E6%9C%BA%E5%A4%B1%E4%BA%8B%E5%8E%9F%E5%9B%A0%E8%BF%98%E5%9C%A8%E8%B0%83%E6%9F%A5%E4%B8%AD%23javascript:void(0);
MU5735,2022-03-21,1931658127,加油上岸的Yuan,2022年03月21日 22:59,iPhone客户端,#mu5735#我们和那132人素不相识看坠机的视频都心脏抽痛、鼻头忍不住地发酸、眼泪不自主地留下来真的很心疼他们无法想象他们家属们，现在的心情是多么绝望🙏🙏🙏,,,3,https://s.weibo.com/weibo?q=%23mu5735%23
MU5735,2022-03-21,5612053682,庙里有个小和尚啊央视新闻,2022年03月21日 22:59,OPPO Reno,愿平安呀#mu5735#,,,1123738赞,https://s.weibo.com/weibo?q=%23mu5735%23https://s.weibo.com/weibo?q=%23%E4%B8%80%E6%9E%B6%E5%AE%A2%E6%9C%BA%E5%9C%A8%E5%B9%BF%E8%A5%BF%E8%97%A4%E5%8E%BF%E5%8F%91%E7%94%9F%E4%BA%8B%E6%95%85%23
